Optimizer,Dataset,objfname,Experiment,startTime,EndTime,ExecutionTime,trainAcc,trainTP,trainFN,trainFP,trainTN,testAcc,testTP,testFN,testFP,testTN,Iter1,Iter2,Iter3,Iter4,Iter5
CS,Liver,costNN,1,2022-03-25-11-27-32,2022-03-25-11-27-34,1.955030918121338,0.6079295154185022,38.0,57.0,32.0,100.0,0.6101694915254238,20.0,30.0,16.0,52.0,0.2378922431607757,0.2364934580404604,0.2364934580404604,0.2364934580404604,0.235551468125496
CS,Liver,costNN,2,2022-03-25-11-27-34,2022-03-25-11-27-36,1.9252395629882812,0.5726872246696035,0.0,95.0,2.0,130.0,0.576271186440678,2.0,48.0,2.0,66.0,0.247974570408644,0.247974570408644,0.247974570408644,0.2465445818034654,0.2465445818034654
BAT,Liver,costNN,1,2022-03-25-11-27-36,2022-03-25-11-27-37,1.1024787425994873,0.5859030837004405,12.0,83.0,11.0,121.0,0.5932203389830508,6.0,44.0,4.0,64.0,0.2389351571610819,0.23814706147444364,0.23495525156849753,0.23287645725888928,0.23225332949955846
BAT,Liver,costNN,2,2022-03-25-11-27-37,2022-03-25-11-27-38,1.0676116943359375,0.44933920704845814,93.0,2.0,123.0,9.0,0.4576271186440678,50.0,0.0,64.0,4.0,0.2426336934570296,0.2426336934570296,0.2426336934570296,0.2426336934570296,0.2426336934570296
PSO,Parkinsons,costNN,1,2022-03-25-11-27-38,2022-03-25-11-27-39,1.1515634059906006,0.6484375,56.0,40.0,5.0,27.0,0.5671641791044776,24.0,27.0,2.0,14.0,0.25892659153228553,0.25892659153228553,0.25892659153228553,0.25892659153228553,0.25892659153228553
PSO,Parkinsons,costNN,2,2022-03-25-11-27-39,2022-03-25-11-27-40,1.148545503616333,0.296875,6.0,90.0,0.0,32.0,0.26865671641791045,3.0,48.0,1.0,15.0,0.3254001779688316,0.19816828228708133,0.19816828228708133,0.19816828228708133,0.19816828228708133
MVO,Parkinsons,costNN,1,2022-03-25-11-27-40,2022-03-25-11-27-41,0.8688414096832275,0.7421875,77.0,19.0,14.0,18.0,0.746268656716418,44.0,7.0,10.0,6.0,0.2854918291142141,0.24443797347777713,0.2358564466233446,0.2358564466233446,0.19899846359010287
MVO,Parkinsons,costNN,2,2022-03-25-11-27-41,2022-03-25-11-27-42,0.8718762397766113,0.75,70.0,26.0,6.0,26.0,0.6716417910447762,33.0,18.0,4.0,12.0,0.32702065499132904,0.29954151917982597,0.2894260412286501,0.25737134372505643,0.24912358863296583
GWO,Parkinsons,costNN,1,2022-03-25-11-27-42,2022-03-25-11-27-44,1.291795253753662,0.734375,79.0,17.0,17.0,15.0,0.7313432835820896,44.0,7.0,11.0,5.0,0.3327472595819281,0.3327472595819281,0.2789441904591691,0.21019815210031018,0.19354463818585488
GWO,Parkinsons,costNN,2,2022-03-25-11-27-44,2022-03-25-11-27-45,1.303081750869751,0.7890625,82.0,14.0,13.0,19.0,0.8208955223880597,45.0,6.0,6.0,10.0,0.2981884136304296,0.2981884136304296,0.2981884136304296,0.19944736501765795,0.18778144195913266
